episode,timestep,reward
11651,582600,-107.426
11663,583200,-100.119
11675,583800,-120.3357
11687,584400,-82.129
11699,585000,-92.5922
11711,585600,-59.5506
11723,586200,-111.7392
11735,586800,-116.6396
11747,587400,-112.9302
11759,588000,-93.9709
11771,588600,-62.9917
11783,589200,-101.5604
11795,589800,-81.855
11807,590400,-71.1649
11819,591000,-132.9379
11831,591600,-69.0244
11843,592200,-85.4236
11855,592800,-103.2731
11867,593400,-79.9061
11879,594000,-107.2149
11891,594600,-94.7584
11903,595200,-81.9391
11915,595800,-86.372
11927,596400,-97.6824
11939,597000,-83.3923
11951,597600,-83.0696
11963,598200,-88.0697
11975,598800,-86.5262
11987,599400,-110.1474
11999,600000,-61.1256
