episode,timestep,reward
3641,182100,-94.3357
3647,182400,-148.3035
3653,182700,-156.2616
3659,183000,-142.2487
3665,183300,-118.382
3671,183600,-150.1322
3677,183900,-136.2865
3683,184200,-131.7458
3689,184500,-106.3652
3695,184800,-118.7061
3701,185100,-156.1347
3707,185400,-137.2712
3713,185700,-113.1324
3719,186000,-138.8821
3725,186300,-68.5293
3731,186600,-132.4982
3737,186900,-144.032
3743,187200,-113.7597
3749,187500,-153.3452
3755,187800,-145.4871
3761,188100,-128.0211
3767,188400,-110.7732
3773,188700,-112.1618
3779,189000,-126.0022
3785,189300,-143.1357
3791,189600,-135.8363
3797,189900,-143.3777
3803,190200,-155.1769
3809,190500,-138.1583
3815,190800,-127.038
3821,191100,-106.811
3827,191400,-113.9607
3833,191700,-133.5193
3839,192000,-100.9965
3845,192300,-124.5869
3851,192600,-108.4766
3857,192900,-123.9855
3863,193200,-138.2931
3869,193500,-163.042
3875,193800,-150.0879
3881,194100,-128.3627
3887,194400,-135.3965
3893,194700,-132.0968
3899,195000,-95.0945
3905,195300,-166.9396
3911,195600,-121.1116
3917,195900,-132.986
3923,196200,-151.0197
3929,196500,-116.2923
3935,196800,-139.702
3941,197100,-149.7971
3947,197400,-164.642
3953,197700,-143.5288
3959,198000,-128.123
3965,198300,-154.8356
3971,198600,-128.0844
3977,198900,-124.2653
3983,199200,-122.4231
3989,199500,-101.1626
3995,199800,-125.7812
4001,200100,-124.9931
4007,200400,-107.865
4013,200700,-131.5371
4019,201000,-118.2997
4025,201300,-141.5547
4031,201600,-127.7325
4037,201900,-172.3736
4043,202200,-144.7917
4049,202500,-100.0553
4055,202800,-129.4726
4061,203100,-164.1631
4067,203400,-130.6895
4073,203700,-152.7856
4079,204000,-123.8784
4085,204300,-159.072
4091,204600,-170.2637
4097,204900,-122.8195
4103,205200,-145.5313
4109,205500,-149.7366
4115,205800,-147.3692
4121,206100,-142.7556
4127,206400,-149.6595
4133,206700,-132.6734
4139,207000,-155.8137
4145,207300,-127.1571
4151,207600,-116.4511
4157,207900,-181.6058
4163,208200,-112.1511
4169,208500,-148.6548
4175,208800,-164.8559
4181,209100,-136.9303
4187,209400,-148.4756
4193,209700,-116.6569
4199,210000,-126.5378
4205,210300,-121.9596
4211,210600,-128.3962
4217,210900,-132.7877
4223,211200,-152.4294
4229,211500,-115.2361
4235,211800,-115.8995
4241,212100,-119.2142
4247,212400,-118.2346
4253,212700,-102.292
4259,213000,-115.4864
4265,213300,-137.7599
4271,213600,-133.9089
4277,213900,-169.49
4283,214200,-134.157
4289,214500,-146.086
4295,214800,-125.8438
4301,215100,-133.9702
4307,215400,-123.0619
4313,215700,-102.9995
4319,216000,-140.0687
4325,216300,-123.9534
4331,216600,-135.2816
4337,216900,-130.1241
4343,217200,-130.1569
4349,217500,-125.2149
4355,217800,-135.9843
4361,218100,-180.6965
4367,218400,-113.7848
4373,218700,-145.4601
4379,219000,-128.3017
4385,219300,-116.4273
4391,219600,-114.5982
4397,219900,-112.0674
4403,220200,-123.4285
4409,220500,-126.6221
4415,220800,-143.288
4421,221100,-104.0167
4427,221400,-120.3117
4433,221700,-116.8705
4439,222000,-165.0438
4445,222300,-111.0243
4451,222600,-133.0737
4457,222900,-156.6462
4463,223200,-155.9684
4469,223500,-153.2165
4475,223800,-123.3965
4481,224100,-125.6202
4487,224400,-156.0642
4493,224700,-141.3926
4499,225000,-121.399
4505,225300,-134.2042
4511,225600,-94.932
4517,225900,-152.3071
4523,226200,-133.9579
4529,226500,-124.2826
4535,226800,-135.7325
4541,227100,-121.3236
4547,227400,-151.1089
4553,227700,-148.8964
4559,228000,-138.7164
4565,228300,-156.4165
4571,228600,-153.3204
4577,228900,-106.2994
4583,229200,-151.8007
4589,229500,-167.3803
4595,229800,-124.2493
4601,230100,-139.6334
4607,230400,-117.4877
4613,230700,-146.8922
4619,231000,-101.5864
